"User","Case","Stage","Answer","Points","Confidence","Time"
63,"Case-01","Description Hypothesis","reflux",0.0,27,148.21
63,"Case-01","EKG Hypothesis","nstemi",1.0,39,41.93
63,"Case-02","Description Hypothesis","gastritis",1.0,33,40.38
63,"Case-02","EKG Hypothesis","gastritis",1.0,57,40.66
63,"Case-03","Description Hypothesis","tendomyogeen",1.0,35,93.44
63,"Case-03","EKG Hypothesis","tendomyogeen",1.0,41,48.95
63,"Case-07","Description Hypothesis","tendomyogeen",0.0,23,77.78
63,"Case-07","EKG Hypothesis","pericarditis",1.0,38,73.92
63,"Case-08","Description Hypothesis","acs",1.0,60,69.13
63,"Case-08","EKG Hypothesis","acs",1.0,49,55.14
63,"Case-09","Description Hypothesis","acs",1.0,49,52.61
63,"Case-09","EKG Hypothesis","acs",1.0,56,57.77
63,"Case-12","Description Hypothesis","af",0.5,51,90.75
63,"Case-12","EKG Hypothesis",".",0.0,35,27.44
63,"Case-13","Description Hypothesis","acs",1.0,42,40.52
63,"Case-13","EKG Hypothesis","acs",1.0,41,35.30
63,"Case-15","Description Hypothesis","acs",1.0,62,82.10
63,"Case-15","EKG Hypothesis","acs",1.0,48,22.19
63,"Case-16","Description Hypothesis","acs",1.0,25,116.77
63,"Case-16","EKG Hypothesis","acs",1.0,55,29.47
63,"Case-17","Description Hypothesis","acs",0.5,16,195.16
63,"Case-17","EKG Hypothesis","acs",0.5,41,8.88
63,"Case-19","Description Hypothesis","acs",1.0,46,43.49
63,"Case-19","EKG Hypothesis","acs",1.0,33,21.19
