"User","Case","Stage","Answer","Points","Confidence","Time"
69,"Case-01","Description Hypothesis","nstemi",1.0,45,156.80
69,"Case-01","EKG Hypothesis","nstemi",1.0,75,68.24
69,"Case-02","Description Hypothesis","maagklachten",1.0,68,64.36
69,"Case-02","EKG Hypothesis","maagklachten",1.0,70,38.84
69,"Case-03","Description Hypothesis","hvs/ musculoskeletaal",1.0,78,56.31
69,"Case-03","EKG Hypothesis","hvs/ musculoskeletaal",1.0,81,60.46
69,"Case-07","Description Hypothesis","musculoskeletaal",0.0,65,53.77
69,"Case-07","EKG Hypothesis","pericarditis",1.0,65,61.30
69,"Case-08","Description Hypothesis","iap",1.0,74,75.33
69,"Case-08","EKG Hypothesis","nstemi",1.0,75,68.40
69,"Case-09","Description Hypothesis","ambulant doorgemaakt infarct/ nstemi",0.5,58,86.62
69,"Case-09","EKG Hypothesis","iap",1.0,64,106.29
69,"Case-12","Description Hypothesis","symptomatisch af",0.5,66,109.93
69,"Case-12","EKG Hypothesis","acs",0.0,33,77.19
69,"Case-13","Description Hypothesis","iap/ nstemi",1.0,54,46.07
69,"Case-13","EKG Hypothesis","nstemi",1.0,67,50.02
69,"Case-15","Description Hypothesis","acs",1.0,77,95.00
69,"Case-15","EKG Hypothesis","acs",1.0,40,86.29
