Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1369911.50,189300.61,1050000.00,518,0,758,0,810,0,213,0,30,0.2839548056650952,2844
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,25997118.48,2505356.26,5547000.00,9296,0,17887,0,15707,0,2349,0,170,0.7530368400921449,23076
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,99734611.47,6894270.08,15611250.00,18134,0,10532,0,40600,0,5888,0,411,0.7810663809746563,63852
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,880901.50,39919874.88,128450300.00,11381,2377,0,11928,0,23813,0,7805,929,0.8210129848124377,76620
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,29553462.12,15295032.72,126644400.00,13441,0,11656,0,21758,0,7631,0,931,0.8609669279439354,70452
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,666010.49,37070099.70,133841700.00,10756,2131,0,11396,0,19588,0,7164,911,0.8324000977360713,71076
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,743315.29,37752485.75,140132000.00,11119,2045,0,10821,0,20749,0,7281,924,0.8394021386855591,70752
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,1007436.21,36912009.54,152191200.00,10884,2236,0,11777,0,22284,0,7468,907,0.8256692006749502,73080
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,1276150.68,39055246.20,150554800.00,5756,6932,0,10992,0,20241,0,7118,911,0.8249081995588309,69216
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,213354009.48,0.00,0,32545,0,28666,0,58159,0,7262,72,2.158212539897094,23988
