Question,Answer,Case,Points
EKG Hypothesis,nstemi,Case-01,1.0
EKG Confidence,52,Case-01,
Description Hypothesis,nstemi,Case-01,1.0
Description Confidence,73,Case-01,
EKG Hypothesis,pericarditis,Case-02,1.0
EKG Confidence,46,Case-02,
EKG Hypothesis,pericarditis,Case-03,0.5
EKG Confidence,44,Case-03,
Description Hypothesis,pericarditis,Case-03,0.5
Description Confidence,60,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,40,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,82,Case-07,
EKG Hypothesis,nstemi,Case-08,1.0
EKG Confidence,30,Case-08,
Description Hypothesis,acs,Case-08,1.0
Description Confidence,84,Case-08,
EKG Hypothesis,lateraal infarct,Case-09,0.5
EKG Confidence,25,Case-09,
Description Hypothesis,lateraal infarct,Case-09,0.5
Description Confidence,83,Case-09,
EKG Hypothesis,niet cardiale klachten,Case-12,1.0
EKG Confidence,29,Case-12,
Description Hypothesis,iap/nstemi,Case-12,0.0
Description Confidence,35,Case-12,
EKG Hypothesis,acs,Case-13,1.0
EKG Confidence,16,Case-13,
Description Hypothesis,acs,Case-13,1.0
Description Confidence,80,Case-13,
EKG Hypothesis,niet cardiale klachten,Case-15,0.0
EKG Confidence,20,Case-15,
Description Hypothesis,nstemi,Case-15,1.0
Description Confidence,69,Case-15,
EKG Hypothesis,niet cardiaal,Case-16,0.0
EKG Confidence,16,Case-16,
Description Hypothesis,niet cardiale klachten,Case-16,0.0
Description Confidence,63,Case-16,
EKG Hypothesis,acs,Case-17,0.5
EKG Confidence,24,Case-17,
Description Hypothesis,slokdarm spasme,Case-17,0.0
Description Confidence,17,Case-17,
EKG Hypothesis,longembolie,Case-19,0.0
EKG Confidence,25,Case-19,
Description Hypothesis,acs,Case-19,1.0
Description Confidence,62,Case-19,
