Cycle,Case,Time
EKG Cycle,Case-01,82.794
Description Cycle,Case-01,207.52700000000002
EKG Cycle,Case-02,39.629999999999995
Description Cycle,Case-02,80.358
EKG Cycle,Case-03,78.36400000000003
Description Cycle,Case-03,44.95400000000001
EKG Cycle,Case-07,108.83299999999997
Description Cycle,Case-07,43.29499999999996
EKG Cycle,Case-08,25.00999999999999
Description Cycle,Case-08,28.787000000000035
EKG Cycle,Case-09,37.916000000000054
Description Cycle,Case-09,38.928999999999974
EKG Cycle,Case-12,49.847999999999956
Description Cycle,Case-12,90.95400000000006
EKG Cycle,Case-13,50.178999999999974
Description Cycle,Case-13,70.52400000000011
EKG Cycle,Case-15,33.28800000000001
Description Cycle,Case-15,73.625
EKG Cycle,Case-16,70.26099999999997
Description Cycle,Case-16,70.74000000000001
EKG Cycle,Case-17,44.32300000000009
Description Cycle,Case-17,50.756000000000085
EKG Cycle,Case-19,29.482999999999947
Description Cycle,Case-19,42.294000000000096
