Cycle,Case,Time
EKG Cycle,Case-01,75.668
Description Cycle,Case-01,60.100999999999985
EKG Cycle,Case-02,61.785000000000025
Description Cycle,Case-02,78.54299999999998
EKG Cycle,Case-03,102.62399999999997
Description Cycle,Case-03,62.036
EKG Cycle,Case-07,30.230000000000018
Description Cycle,Case-07,44.05600000000004
EKG Cycle,Case-08,96.721
Description Cycle,Case-08,48.16599999999994
EKG Cycle,Case-09,80.93799999999999
Description Cycle,Case-09,55.19599999999991
EKG Cycle,Case-12,66.25800000000004
Description Cycle,Case-12,86.43899999999996
EKG Cycle,Case-13,121.981
Description Cycle,Case-13,70.65100000000007
EKG Cycle,Case-15,46.22700000000009
Description Cycle,Case-15,46.69899999999984
EKG Cycle,Case-16,56.350000000000136
Description Cycle,Case-16,29.19900000000007
EKG Cycle,Case-17,52.98299999999995
Description Cycle,Case-17,35.81000000000017
EKG Cycle,Case-19,48.026999999999816
Description Cycle,Case-19,20.925000000000182
