Cycle,Case,Time
EKG Cycle,Case-01,104.803
Description Cycle,Case-01,82.633
EKG Cycle,Case-02,78.65300000000002
Description Cycle,Case-02,79.17599999999999
EKG Cycle,Case-03,64.90699999999998
Description Cycle,Case-03,64.80099999999999
EKG Cycle,Case-07,226.95600000000002
Description Cycle,Case-07,48.997999999999934
EKG Cycle,Case-08,62.249000000000024
Description Cycle,Case-08,75.68700000000001
EKG Cycle,Case-09,64.34199999999998
Description Cycle,Case-09,56.84100000000001
EKG Cycle,Case-12,55.41399999999999
Description Cycle,Case-12,122.25199999999995
EKG Cycle,Case-13,69.98399999999992
Description Cycle,Case-13,30.625999999999976
EKG Cycle,Case-15,119.47000000000003
Description Cycle,Case-15,30.67899999999986
EKG Cycle,Case-16,47.402000000000044
Description Cycle,Case-16,26.32199999999989
EKG Cycle,Case-17,29.13799999999992
Description Cycle,Case-17,31.52299999999991
EKG Cycle,Case-19,23.961000000000013
Description Cycle,Case-19,34.45899999999983
