Cycle,Case,Time
EKG Cycle,Case-01,142.05200000000002
Description Cycle,Case-01,52.297
EKG Cycle,Case-02,42.42099999999999
Description Cycle,Case-02,123.95999999999998
EKG Cycle,Case-03,60.685
Description Cycle,Case-03,73.97399999999999
EKG Cycle,Case-07,44.855999999999995
Description Cycle,Case-07,29.551000000000045
EKG Cycle,Case-08,56.22399999999993
Description Cycle,Case-08,34.01200000000006
EKG Cycle,Case-09,
Description Cycle,Case-09,163.2460000000001
EKG Cycle,Case-12,45.04399999999987
Description Cycle,Case-12,41.45700000000011
EKG Cycle,Case-13,44.32999999999993
Description Cycle,Case-13,77.50700000000006
EKG Cycle,Case-15,54.899000000000115
Description Cycle,Case-15,45.16399999999999
EKG Cycle,Case-16,100.452
Description Cycle,Case-16,30.642000000000053
EKG Cycle,Case-17,
Description Cycle,Case-17,71.9079999999999
EKG Cycle,Case-19,
Description Cycle,Case-19,50.389000000000124
