Question,Answer,Case,Points
EKG Hypothesis,doorgemaakt ischemie,Case-01,1.0
EKG Confidence,30,Case-01,
Description Hypothesis,acs,Case-01,1.0
Description Confidence,43,Case-01,
EKG Hypothesis,pericarditis,Case-02,1.0
EKG Confidence,71,Case-02,
Description Hypothesis,gastritis of reflux,Case-02,1.0
Description Confidence,74,Case-02,
EKG Hypothesis,acs,Case-03,0.0
EKG Confidence,40,Case-03,
Description Hypothesis,nonspecifieke thoracale pijn,Case-03,1.0
Description Confidence,80,Case-03,
EKG Hypothesis,acs,Case-07,0.0
EKG Confidence,46,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,89,Case-07,
EKG Hypothesis,hyperttensie,Case-08,0.0
EKG Confidence,65,Case-08,
Description Hypothesis,acs,Case-08,1.0
Description Confidence,65,Case-08,
EKG Hypothesis,pulmonale belasting,Case-09,0.5
EKG Confidence,40,Case-09,
Description Hypothesis,ischemie,Case-09,1.0
Description Confidence,38,Case-09,
EKG Hypothesis,normaal,Case-12,1.0
EKG Confidence,93,Case-12,
Description Hypothesis,niet cardiaal,Case-12,1.0
Description Confidence,79,Case-12,
EKG Hypothesis,acs,Case-13,1.0
EKG Confidence,42,Case-13,
Description Hypothesis,acs,Case-13,1.0
Description Confidence,90,Case-13,
EKG Hypothesis,normaal ecg,Case-15,1.0
EKG Confidence,74,Case-15,
Description Hypothesis,acs,Case-15,1.0
Description Confidence,94,Case-15,
EKG Hypothesis,als 3vd,Case-16,1.0
EKG Confidence,76,Case-16,
Description Hypothesis,acs,Case-16,1.0
Description Confidence,80,Case-16,
EKG Hypothesis,strain,Case-17,0.5
EKG Confidence,72,Case-17,
Description Hypothesis,takotsubo,Case-17,0.5
Description Confidence,86,Case-17,
EKG Hypothesis,hypertensie,Case-19,0.0
EKG Confidence,75,Case-19,
Description Hypothesis,viraal infect,Case-19,0.0
Description Confidence,67,Case-19,
