Question,Answer,Case,Points
EKG Hypothesis,acs,Case-01,1.0
EKG Confidence,50,Case-01,
Description Hypothesis,acs,Case-01,1.0
Description Confidence,48,Case-01,
EKG Hypothesis,acs,Case-02,0.0
EKG Confidence,61,Case-02,
Description Hypothesis,gerd,Case-02,1.0
Description Confidence,59,Case-02,
EKG Hypothesis,acs,Case-03,0.0
EKG Confidence,48,Case-03,
Description Hypothesis,functional,Case-03,1.0
Description Confidence,47,Case-03,
EKG Hypothesis,acs,Case-07,0.0
EKG Confidence,86,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,82,Case-07,
EKG Hypothesis,acs,Case-08,1.0
EKG Confidence,42,Case-08,
Description Hypothesis,acs,Case-08,1.0
Description Confidence,62,Case-08,
EKG Hypothesis,le,Case-09,0.0
EKG Confidence,63,Case-09,
Description Hypothesis,le,Case-09,0.0
Description Confidence,51,Case-09,
EKG Hypothesis,acs,Case-12,0.0
EKG Confidence,42,Case-12,
Description Hypothesis,functional,Case-12,1.0
Description Confidence,52,Case-12,
EKG Hypothesis,la dilation,Case-13,0.5
EKG Confidence,53,Case-13,
Description Hypothesis,acs,Case-13,1.0
Description Confidence,61,Case-13,
EKG Hypothesis,acs,Case-15,1.0
EKG Confidence,49,Case-15,
Description Hypothesis,acs,Case-15,1.0
Description Confidence,53,Case-15,
EKG Hypothesis,"acs ,",Case-16,1.0
EKG Confidence,54,Case-16,
Description Hypothesis,acs,Case-16,1.0
Description Confidence,65,Case-16,
EKG Hypothesis,acs,Case-17,0.5
EKG Confidence,53,Case-17,
Description Hypothesis,functional,Case-17,1.0
Description Confidence,29,Case-17,
EKG Hypothesis,copd,Case-19,0.0
EKG Confidence,31,Case-19,
Description Hypothesis,acs,Case-19,1.0
Description Confidence,66,Case-19,
