Cycle,Case,Time
EKG Cycle,Case-01,118.943
Description Cycle,Case-01,152.09299999999996
EKG Cycle,Case-02,70.072
Description Cycle,Case-02,50.02199999999999
EKG Cycle,Case-03,54.39999999999998
Description Cycle,Case-03,52.954999999999984
EKG Cycle,Case-07,36.495000000000005
Description Cycle,Case-07,28.956000000000017
EKG Cycle,Case-08,89.78800000000001
Description Cycle,Case-08,43.81600000000003
EKG Cycle,Case-09,102.99900000000002
Description Cycle,Case-09,90.726
EKG Cycle,Case-12,57.611000000000104
Description Cycle,Case-12,99.21199999999988
EKG Cycle,Case-13,55.82999999999993
Description Cycle,Case-13,32.82899999999995
EKG Cycle,Case-15,26.951999999999998
Description Cycle,Case-15,58.46699999999987
EKG Cycle,Case-16,48.28099999999995
Description Cycle,Case-16,36.394000000000005
EKG Cycle,Case-17,47.319999999999936
Description Cycle,Case-17,44.044000000000096
EKG Cycle,Case-19,43.085000000000036
Description Cycle,Case-19,32.09699999999998
