Cycle,Case,Time
EKG Cycle,Case-01,76.12
Description Cycle,Case-01,225.11700000000002
EKG Cycle,Case-02,28.946000000000026
Description Cycle,Case-02,105.894
EKG Cycle,Case-03,101.85800000000006
Description Cycle,Case-03,87.34199999999998
EKG Cycle,Case-07,41.985000000000014
Description Cycle,Case-07,14.763000000000034
EKG Cycle,Case-08,91.58600000000001
Description Cycle,Case-08,64.02999999999997
EKG Cycle,Case-09,86.029
Description Cycle,Case-09,146.97500000000014
EKG Cycle,Case-12,41.259000000000015
Description Cycle,Case-12,53.07600000000002
EKG Cycle,Case-13,88.21800000000007
Description Cycle,Case-13,15.823000000000093
EKG Cycle,Case-15,40.98000000000002
Description Cycle,Case-15,34.39300000000003
EKG Cycle,Case-16,43.988999999999805
Description Cycle,Case-16,21.114000000000033
EKG Cycle,Case-17,21.98199999999997
Description Cycle,Case-17,26.12200000000007
EKG Cycle,Case-19,51.9699999999998
Description Cycle,Case-19,58.67800000000011
