Cycle,Case,Time
EKG Cycle,Case-01,70.346
Description Cycle,Case-01,105.619
EKG Cycle,Case-02,126.37200000000001
Description Cycle,Case-02,50.396000000000015
EKG Cycle,Case-03,59.22399999999999
Description Cycle,Case-03,31.314999999999998
EKG Cycle,Case-07,55.089999999999975
Description Cycle,Case-07,34.110000000000014
EKG Cycle,Case-08,55.81299999999999
Description Cycle,Case-08,75.90999999999997
EKG Cycle,Case-09,69.0440000000001
Description Cycle,Case-09,63.55099999999993
EKG Cycle,Case-12,41.82600000000002
Description Cycle,Case-12,47.76599999999996
EKG Cycle,Case-13,51.56899999999996
Description Cycle,Case-13,68.18799999999999
EKG Cycle,Case-15,62.447000000000116
Description Cycle,Case-15,31.548000000000002
EKG Cycle,Case-16,94.86300000000006
Description Cycle,Case-16,32.08899999999994
EKG Cycle,Case-17,51.03899999999999
Description Cycle,Case-17,46.44800000000009
EKG Cycle,Case-19,54.25400000000013
Description Cycle,Case-19,30.8599999999999
