Cycle,Case,Time
EKG Cycle,Case-01,67.41499999999999
Description Cycle,Case-01,204.06400000000002
EKG Cycle,Case-02,95.851
Description Cycle,Case-02,68.64600000000002
EKG Cycle,Case-03,100.65600000000006
Description Cycle,Case-03,70.13
EKG Cycle,Case-07,38.872999999999934
Description Cycle,Case-07,31.49599999999998
EKG Cycle,Case-08,44.900999999999954
Description Cycle,Case-08,34.004999999999995
EKG Cycle,Case-09,78.40500000000009
Description Cycle,Case-09,39.11399999999992
EKG Cycle,Case-12,44.196000000000026
Description Cycle,Case-12,95.44699999999989
EKG Cycle,Case-13,40.78099999999995
Description Cycle,Case-13,64.57999999999993
EKG Cycle,Case-15,28.68100000000004
Description Cycle,Case-15,49.89300000000003
EKG Cycle,Case-16,32.868999999999915
Description Cycle,Case-16,29.472999999999956
EKG Cycle,Case-17,31.419000000000096
Description Cycle,Case-17,50.76099999999997
EKG Cycle,Case-19,90.33999999999992
Description Cycle,Case-19,56.05300000000011
