Question,Answer,Case,Points
EKG Hypothesis,cardiac mimicking,Case-01,0.0
EKG Confidence,50,Case-01,
Description Hypothesis,acs,Case-01,1.0
Description Confidence,34,Case-01,
EKG Hypothesis,sr met vroege repolarisatie.,Case-02,1.0
EKG Confidence,70,Case-02,
Description Hypothesis,perimyocarditis,Case-02,0.5
Description Confidence,61,Case-02,
EKG Hypothesis,pericarditis,Case-03,0.5
EKG Confidence,55,Case-03,
Description Hypothesis,pericarditis,Case-03,0.5
Description Confidence,58,Case-03,
EKG Hypothesis,inferoseptaal infarct,Case-07,0.0
EKG Confidence,35,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,78,Case-07,
EKG Hypothesis,ischemie,Case-08,1.0
EKG Confidence,60,Case-08,
Description Hypothesis,stabiele ap,Case-08,0.0
Description Confidence,64,Case-08,
EKG Hypothesis,tamponade,Case-09,0.0
EKG Confidence,63,Case-09,
Description Hypothesis,pe met instroombelemmering,Case-09,0.0
Description Confidence,36,Case-09,
EKG Hypothesis,sr,Case-12,0.5
EKG Confidence,57,Case-12,
Description Hypothesis,nstemi,Case-12,0.0
Description Confidence,63,Case-12,
EKG Hypothesis,nstemi,Case-13,1.0
EKG Confidence,32,Case-13,
Description Hypothesis,nst,Case-13,1.0
Description Confidence,39,Case-13,
,,Case-15,
EKG Hypothesis,hs stenose,Case-16,1.0
EKG Confidence,26,Case-16,
Description Hypothesis,nstemi,Case-16,1.0
Description Confidence,36,Case-16,
EKG Hypothesis,nstemi,Case-17,0.5
EKG Confidence,37,Case-17,
Description Hypothesis,nstemi,Case-17,0.5
Description Confidence,39,Case-17,
EKG Hypothesis,sr,Case-19,0.0
EKG Confidence,20,Case-19,
Description Hypothesis,atypisch pob,Case-19,0.0
Description Confidence,24,Case-19,
