Cycle,Case,Time
EKG Cycle,Case-01,62.979
Description Cycle,Case-01,59.821
EKG Cycle,Case-02,51.10500000000002
Description Cycle,Case-02,85.63400000000001
EKG Cycle,Case-03,73.06600000000003
Description Cycle,Case-03,94.43199999999996
EKG Cycle,Case-07,38.216999999999985
Description Cycle,Case-07,39.61999999999995
EKG Cycle,Case-08,203.62700000000007
Description Cycle,Case-08,53.2589999999999
EKG Cycle,Case-09,110.894
Description Cycle,Case-09,34.37800000000004
EKG Cycle,Case-12,57.476999999999975
Description Cycle,Case-12,94.67800000000011
EKG Cycle,Case-13,79.82300000000009
Description Cycle,Case-13,30.96900000000005
EKG Cycle,Case-15,31.733000000000175
Description Cycle,Case-15,80.94999999999982
EKG Cycle,Case-16,27.91800000000012
Description Cycle,Case-16,61.9409999999998
EKG Cycle,Case-17,35.96399999999994
Description Cycle,Case-17,38.92000000000007
EKG Cycle,Case-19,29.420000000000073
Description Cycle,Case-19,37.24499999999989
