Question,Answer,Case,Points
EKG Hypothesis,inferolateraal infarct doorgemaakt,Case-01,0.5
EKG Confidence,24,Case-01,
Description Hypothesis,nstemi,Case-01,1.0
Description Confidence,17,Case-01,
EKG Hypothesis,inferior stemi,Case-02,0.0
EKG Confidence,25,Case-02,
Description Hypothesis,pyrosis,Case-02,1.0
Description Confidence,25,Case-02,
EKG Hypothesis,¿,Case-03,0.0
EKG Confidence,1,Case-03,
Description Hypothesis,not cardiac,Case-03,1.0
Description Confidence,27,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,41,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,24,Case-07,
EKG Hypothesis,left main stenosis,Case-08,0.5
EKG Confidence,22,Case-08,
Description Hypothesis,left main stenosis,Case-08,0.5
Description Confidence,30,Case-08,
EKG Hypothesis,copd,Case-09,0.0
EKG Confidence,12,Case-09,
Description Hypothesis,pneumonie,Case-09,0.0
Description Confidence,22,Case-09,
EKG Hypothesis,non cardiac,Case-12,1.0
EKG Confidence,31,Case-12,
Description Hypothesis,nstemi,Case-12,0.0
Description Confidence,32,Case-12,
EKG Hypothesis,?,Case-13,0.0
EKG Confidence,25,Case-13,
Description Hypothesis,nstemi,Case-13,1.0
Description Confidence,11,Case-13,
EKG Hypothesis,noncardiac,Case-15,0.0
EKG Confidence,18,Case-15,
Description Hypothesis,nstemi,Case-15,1.0
Description Confidence,23,Case-15,
EKG Hypothesis,stc met 1e gr blok,Case-16,0.5
EKG Confidence,25,Case-16,
Description Hypothesis,nstemi,Case-16,1.0
Description Confidence,20,Case-16,
EKG Hypothesis,doorgemaakt inferolateraal infarct,Case-17,0.0
EKG Confidence,17,Case-17,
Description Hypothesis,stress,Case-17,0.5
Description Confidence,42,Case-17,
EKG Hypothesis,doorgemaakt inferior infarct,Case-19,0.5
EKG Confidence,22,Case-19,
Description Hypothesis,nstemi,Case-19,1.0
Description Confidence,3,Case-19,
