Question,Answer,Case,Points
EKG Hypothesis,nstemi,Case-01,1.0
EKG Confidence,47,Case-01,
Description Hypothesis,nstemi,Case-01,1.0
Description Confidence,50,Case-01,
EKG Hypothesis,pericarditis,Case-02,1.0
EKG Confidence,31,Case-02,
Description Hypothesis,dyspepsie,Case-02,1.0
Description Confidence,76,Case-02,
EKG Hypothesis,vroege repolarisatei,Case-03,1.0
EKG Confidence,28,Case-03,
Description Hypothesis,spierpijn,Case-03,1.0
Description Confidence,69,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,47,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,80,Case-07,
EKG Hypothesis,nstemi,Case-08,1.0
EKG Confidence,27,Case-08,
Description Hypothesis,nstemi,Case-08,1.0
Description Confidence,76,Case-08,
EKG Hypothesis,decompensatio cordis,Case-09,0.0
EKG Confidence,15,Case-09,
Description Hypothesis,doorgemaakt infarct,Case-09,0.0
Description Confidence,48,Case-09,
EKG Hypothesis,niet cardiaal,Case-12,1.0
EKG Confidence,26,Case-12,
Description Hypothesis,coronairspasme,Case-12,0.0
Description Confidence,23,Case-12,
EKG Hypothesis,mitralisklepinsufficientie,Case-13,0.0
EKG Confidence,12,Case-13,
Description Hypothesis,nstemi,Case-13,1.0
Description Confidence,20,Case-13,
EKG Hypothesis,niet cardiaal,Case-15,0.0
EKG Confidence,46,Case-15,
Description Hypothesis,angina pectoris,Case-15,1.0
Description Confidence,46,Case-15,
EKG Hypothesis,longembolie,Case-16,0.0
EKG Confidence,15,Case-16,
Description Hypothesis,ap,Case-16,1.0
Description Confidence,36,Case-16,
EKG Hypothesis,doorgemaakt ipl infarct,Case-17,0.0
EKG Confidence,26,Case-17,
Description Hypothesis,doorgemaakt ipl infarct,Case-17,0.0
Description Confidence,74,Case-17,
EKG Hypothesis,doorgemaakt posterior infarct,Case-19,0.5
EKG Confidence,16,Case-19,
Description Hypothesis,nstemi,Case-19,1.0
Description Confidence,64,Case-19,
