Cycle,Case,Time
EKG Cycle,Case-01,25.712
Description Cycle,Case-01,138.83499999999998
EKG Cycle,Case-02,109.33499999999998
Description Cycle,Case-02,57.19300000000004
EKG Cycle,Case-03,49.85000000000002
Description Cycle,Case-03,53.94
EKG Cycle,Case-07,71.125
Description Cycle,Case-07,27.696000000000026
EKG Cycle,Case-08,59.05899999999997
Description Cycle,Case-08,37.259000000000015
EKG Cycle,Case-09,40.329000000000065
Description Cycle,Case-09,64.34599999999989
EKG Cycle,Case-12,54.17500000000007
Description Cycle,Case-12,86.20399999999995
EKG Cycle,Case-13,54.72900000000004
Description Cycle,Case-13,38.27299999999991
EKG Cycle,Case-15,31.460000000000036
Description Cycle,Case-15,47.541999999999916
EKG Cycle,Case-16,51.98299999999995
Description Cycle,Case-16,45.86900000000014
EKG Cycle,Case-17,29.198000000000093
Description Cycle,Case-17,124.94799999999987
EKG Cycle,Case-19,39.03899999999999
Description Cycle,Case-19,34.465999999999894
