Question,Answer,Case,Points
EKG Hypothesis,nstemi,Case-01,1.0
EKG Confidence,61,Case-01,
Description Hypothesis,nstemi,Case-01,1.0
Description Confidence,73,Case-01,
EKG Hypothesis,stemi inferior,Case-02,0.0
EKG Confidence,71,Case-02,
Description Hypothesis,stemi inferior,Case-02,0.0
Description Confidence,62,Case-02,
EKG Hypothesis,pericarditis,Case-03,0.5
EKG Confidence,68,Case-03,
Description Hypothesis,atypische pob (tendomyogeen),Case-03,1.0
Description Confidence,76,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,79,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,89,Case-07,
EKG Hypothesis,panischemie,Case-08,0.5
EKG Confidence,85,Case-08,
Description Confidence,100,Case-08,
EKG Hypothesis,tamponade,Case-09,0.0
EKG Confidence,15,Case-09,
Description Hypothesis,longembolie,Case-09,0.5
Description Confidence,6,Case-09,
EKG Hypothesis,acs,Case-12,0.0
EKG Confidence,18,Case-12,
Description Hypothesis,nstemi,Case-12,0.0
Description Confidence,62,Case-12,
EKG Hypothesis,rv hypertrofie,Case-13,0.0
EKG Confidence,32,Case-13,
Description Hypothesis,nstemi,Case-13,1.0
Description Confidence,68,Case-13,
EKG Hypothesis,acs,Case-15,1.0
EKG Confidence,24,Case-15,
Description Hypothesis,stemi,Case-15,0.0
Description Confidence,100,Case-15,
EKG Hypothesis,nstemi,Case-16,1.0
EKG Confidence,22,Case-16,
Description Hypothesis,nstemi,Case-16,1.0
Description Confidence,69,Case-16,
EKG Hypothesis,nstemi,Case-17,0.5
EKG Confidence,69,Case-17,
Description Hypothesis,atypische pob,Case-17,0.5
Description Confidence,16,Case-17,
EKG Hypothesis,nstemi,Case-19,1.0
EKG Confidence,73,Case-19,
Description Hypothesis,stemi,Case-19,0.0
Description Confidence,20,Case-19,
