Cycle,Case,Time
EKG Cycle,Case-01,59.37100000000001
Description Cycle,Case-01,49.75800000000001
EKG Cycle,Case-02,26.0
Description Cycle,Case-02,48.45400000000001
EKG Cycle,Case-03,57.447
Description Cycle,Case-03,83.18599999999998
EKG Cycle,Case-07,50.673
Description Cycle,Case-07,45.66899999999998
EKG Cycle,Case-08,37.85799999999995
Description Cycle,Case-08,31.180000000000064
EKG Cycle,Case-09,90.89499999999998
Description Cycle,Case-09,70.63199999999995
EKG Cycle,Case-12,42.74599999999998
Description Cycle,Case-12,136.07799999999997
EKG Cycle,Case-13,17.057999999999993
Description Cycle,Case-13,25.292999999999893
EKG Cycle,Case-15,30.214999999999918
Description Cycle,Case-15,32.847999999999956
EKG Cycle,Case-16,42.72199999999998
Description Cycle,Case-16,26.90300000000002
EKG Cycle,Case-17,24.92100000000005
Description Cycle,Case-17,119.13199999999983
EKG Cycle,Case-19,12.085000000000036
Description Cycle,Case-19,59.02800000000002
