Cycle,Case,Time
EKG Cycle,Case-01,127.545
Description Cycle,Case-01,138.63700000000003
EKG Cycle,Case-02,68.78999999999996
Description Cycle,Case-02,100.339
EKG Cycle,Case-03,77.59300000000002
Description Cycle,Case-03,34.983999999999924
EKG Cycle,Case-07,51.528999999999996
Description Cycle,Case-07,50.946000000000026
EKG Cycle,Case-08,18.610000000000014
Description Cycle,Case-08,19.579999999999984
EKG Cycle,Case-09,66.73199999999997
Description Cycle,Case-09,36.24800000000005
EKG Cycle,Case-12,33.545999999999935
Description Cycle,Case-12,46.871000000000095
EKG Cycle,Case-13,63.19900000000007
Description Cycle,Case-13,25.104999999999905
EKG Cycle,Case-15,29.52500000000009
Description Cycle,Case-15,18.09999999999991
EKG Cycle,Case-16,40.322
Description Cycle,Case-16,38.78499999999997
EKG Cycle,Case-17,21.761999999999944
Description Cycle,Case-17,21.129999999999995
EKG Cycle,Case-19,37.430000000000064
Description Cycle,Case-19,18.366999999999962
