Cycle,Case,Time
EKG Cycle,Case-01,49.754000000000005
Description Cycle,Case-01,79.93100000000001
EKG Cycle,Case-02,57.52699999999999
Description Cycle,Case-02,100.78299999999999
EKG Cycle,Case-03,58.54599999999999
Description Cycle,Case-03,93.19999999999999
EKG Cycle,Case-07,18.206999999999994
Description Cycle,Case-07,70.76000000000005
EKG Cycle,Case-08,51.01599999999996
Description Cycle,Case-08,37.25999999999999
EKG Cycle,Case-09,32.56499999999994
Description Cycle,Case-09,22.645000000000095
EKG Cycle,Case-12,21.91300000000001
Description Cycle,Case-12,59.48199999999997
EKG Cycle,Case-13,99.43899999999996
Description Cycle,Case-13,33.222000000000094
EKG Cycle,Case-15,16.115999999999985
Description Cycle,Case-15,59.05600000000004
EKG Cycle,Case-16,31.699999999999818
Description Cycle,Case-16,56.733000000000175
EKG Cycle,Case-17,23.3599999999999
Description Cycle,Case-17,41.88599999999997
EKG Cycle,Case-19,73.26999999999998
Description Cycle,Case-19,65.36900000000014
