Cycle,Case,Time
EKG Cycle,Case-01,81.297
Description Cycle,Case-01,116.96000000000001
EKG Cycle,Case-02,58.249000000000024
Description Cycle,Case-02,89.41399999999999
EKG Cycle,Case-03,72.404
Description Cycle,Case-03,35.829999999999984
EKG Cycle,Case-07,66.23400000000004
Description Cycle,Case-07,59.87699999999995
EKG Cycle,Case-08,46.553999999999974
Description Cycle,Case-08,41.347999999999956
EKG Cycle,Case-09,75.94999999999993
Description Cycle,Case-09,89.45799999999997
EKG Cycle,Case-12,26.67999999999995
Description Cycle,Case-12,194.89300000000003
EKG Cycle,Case-13,223.683
Description Cycle,Case-13,44.639000000000124
EKG Cycle,Case-15,
Description Cycle,Case-15,
EKG Cycle,Case-16,24.05099999999993
Description Cycle,Case-16,24.845000000000027
EKG Cycle,Case-17,22.787000000000035
Description Cycle,Case-17,16.44699999999989
EKG Cycle,Case-19,28.309999999999945
Description Cycle,Case-19,52.02299999999991
