Cycle,Case,Time
EKG Cycle,Case-01,61.091
Description Cycle,Case-01,202.584
EKG Cycle,Case-02,74.828
Description Cycle,Case-02,53.170000000000016
EKG Cycle,Case-03,55.19399999999999
Description Cycle,Case-03,46.829999999999984
EKG Cycle,Case-07,128.478
Description Cycle,Case-07,58.25799999999998
EKG Cycle,Case-08,33.384000000000015
Description Cycle,Case-08,37.22799999999995
EKG Cycle,Case-09,152.34199999999998
Description Cycle,Case-09,60.73900000000003
EKG Cycle,Case-12,69.41599999999994
Description Cycle,Case-12,55.335000000000036
EKG Cycle,Case-13,
Description Cycle,Case-13,
