Cycle,Case,Time
EKG Cycle,Case-01,62.56199999999999
Description Cycle,Case-01,40.55800000000001
EKG Cycle,Case-02,70.043
Description Cycle,Case-02,44.768
EKG Cycle,Case-03,51.704999999999984
Description Cycle,Case-03,113.38300000000004
EKG Cycle,Case-07,71.894
Description Cycle,Case-07,44.72799999999995
EKG Cycle,Case-08,114.19999999999993
Description Cycle,Case-08,84.17700000000002
EKG Cycle,Case-09,92.38099999999997
Description Cycle,Case-09,56.73199999999997
EKG Cycle,Case-12,73.83100000000002
Description Cycle,Case-12,80.2600000000001
EKG Cycle,Case-13,83.18700000000013
Description Cycle,Case-13,46.55599999999981
EKG Cycle,Case-15,27.577999999999975
Description Cycle,Case-15,111.86200000000008
EKG Cycle,Case-16,65.69899999999984
Description Cycle,Case-16,26.669000000000096
EKG Cycle,Case-17,129.654
Description Cycle,Case-17,60.611000000000104
EKG Cycle,Case-19,23.357999999999947
Description Cycle,Case-19,21.819999999999936
