Question,Answer,Case,Points
EKG Hypothesis,nstemi,Case-01,1.0
EKG Confidence,63,Case-01,
Description Hypothesis,nstemi,Case-01,1.0
Description Confidence,62,Case-01,
EKG Hypothesis,pericarditis,Case-02,1.0
EKG Confidence,36,Case-02,
Description Hypothesis,dyspepsie,Case-02,1.0
Description Confidence,41,Case-02,
EKG Hypothesis,pericarditis,Case-03,0.5
EKG Confidence,37,Case-03,
Description Hypothesis,hvs,Case-03,1.0
Description Confidence,35,Case-03,
EKG Hypothesis,acs,Case-07,0.0
EKG Confidence,23,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,66,Case-07,
EKG Hypothesis,nstemi,Case-08,1.0
EKG Confidence,41,Case-08,
Description Hypothesis,nstemi,Case-08,1.0
Description Confidence,77,Case-08,
EKG Hypothesis,acs,Case-09,1.0
EKG Confidence,53,Case-09,
Description Hypothesis,acs,Case-09,1.0
Description Confidence,66,Case-09,
EKG Hypothesis,functioneel,Case-12,1.0
EKG Confidence,58,Case-12,
Description Hypothesis,functioneel,Case-12,1.0
Description Confidence,33,Case-12,
EKG Hypothesis,acs,Case-13,1.0
EKG Confidence,34,Case-13,
Description Hypothesis,acs,Case-13,1.0
Description Confidence,36,Case-13,
EKG Hypothesis,functioneel,Case-15,0.0
EKG Confidence,26,Case-15,
Description Hypothesis,acs,Case-15,1.0
Description Confidence,62,Case-15,
EKG Hypothesis,3-vatslijden,Case-16,1.0
EKG Confidence,35,Case-16,
Description Hypothesis,3-vatslijden,Case-16,1.0
Description Confidence,79,Case-16,
EKG Hypothesis,strain,Case-17,0.5
EKG Confidence,58,Case-17,
Description Hypothesis,functioneel,Case-17,1.0
Description Confidence,54,Case-17,
EKG Hypothesis,acs,Case-19,1.0
EKG Confidence,35,Case-19,
Description Hypothesis,acs,Case-19,1.0
Description Confidence,56,Case-19,
