Cycle,Case,Time
EKG Cycle,Case-01,66.387
Description Cycle,Case-01,149.434
EKG Cycle,Case-02,60.218999999999994
Description Cycle,Case-02,127.28200000000004
EKG Cycle,Case-03,80.42599999999999
Description Cycle,Case-03,90.99100000000004
EKG Cycle,Case-07,40.22399999999993
Description Cycle,Case-07,48.03100000000006
EKG Cycle,Case-08,87.55000000000007
Description Cycle,Case-08,76.72899999999993
EKG Cycle,Case-09,62.686000000000035
Description Cycle,Case-09,114.75299999999993
EKG Cycle,Case-12,34.09199999999987
Description Cycle,Case-12,74.50099999999998
EKG Cycle,Case-13,78.20399999999995
Description Cycle,Case-13,109.4860000000001
EKG Cycle,Case-15,21.01800000000003
Description Cycle,Case-15,85.83699999999999
EKG Cycle,Case-16,97.48000000000002
Description Cycle,Case-16,66.202
EKG Cycle,Case-17,
Description Cycle,Case-17,
