Cycle,Case,Time
EKG Cycle,Case-01,45.655
Description Cycle,Case-01,126.69699999999999
EKG Cycle,Case-02,29.424000000000007
Description Cycle,Case-02,79.99600000000001
EKG Cycle,Case-03,26.60499999999996
Description Cycle,Case-03,39.66300000000001
EKG Cycle,Case-07,24.478999999999985
Description Cycle,Case-07,55.28399999999999
EKG Cycle,Case-08,29.708000000000027
Description Cycle,Case-08,43.61099999999993
EKG Cycle,Case-09,89.98800000000006
Description Cycle,Case-09,33.16599999999994
EKG Cycle,Case-12,30.321000000000026
Description Cycle,Case-12,64.10400000000004
EKG Cycle,Case-13,60.70099999999991
Description Cycle,Case-13,26.110000000000014
EKG Cycle,Case-15,35.043000000000006
Description Cycle,Case-15,44.321000000000026
EKG Cycle,Case-16,58.735000000000014
Description Cycle,Case-16,31.33699999999999
EKG Cycle,Case-17,79.68799999999999
Description Cycle,Case-17,41.722999999999956
EKG Cycle,Case-19,53.02599999999984
Description Cycle,Case-19,41.63499999999999
