"User","Case","Stage","Answer","Points","Confidence","Time"
112,"Case-01","EKG Hypothesis","diffuus vlakke st segmenten",0.5,38,53.86
112,"Case-01","Description Hypothesis","instabiele ap",1.0,23,420.38
112,"Case-02","EKG Hypothesis","niet evident afwijkend ecg, vroege repolarisatie, mogelijk pta depressie",0.5,55,130.42
112,"Case-02","Description Hypothesis","atypische thoracale pijn, niet verdacht voor cardiale ischemie",1.0,81,130.49
112,"Case-03","EKG Hypothesis","diffuus iets opgetrokken st segmenten, mogelijk pericarditis",0.5,18,69.64
112,"Case-03","Description Hypothesis","atypische thoracale pijn",1.0,73,41.08
112,"Case-07","EKG Hypothesis","st elevaties inferior en anterior",0.0,49,123.81
112,"Case-07","Description Hypothesis","pericarditis",1.0,72,61.27
112,"Case-08","EKG Hypothesis","stemi",0.5,67,68.01
112,"Case-08","Description Hypothesis","ischemie",1.0,73,44.24
