"User","Case","Stage","Answer","Points","Confidence","Time"
68,"Case-01","Description Hypothesis","nstemi",1.0,50,48.85
68,"Case-01","EKG Hypothesis","nstemi",1.0,60,29.38
68,"Case-02","Description Hypothesis","gastro intestinaal",1.0,52,67.66
68,"Case-02","EKG Hypothesis","gi",1.0,72,20.99
68,"Case-03","Description Hypothesis","hyperventilatie",1.0,85,36.02
68,"Case-03","EKG Hypothesis","hyperventilatie",1.0,79,24.91
68,"Case-07","Description Hypothesis","pericarditis",1.0,55,23.72
68,"Case-07","EKG Hypothesis","pericarditis",1.0,88,20.60
68,"Case-08","Description Hypothesis","myocardinfarct",1.0,71,29.79
68,"Case-08","EKG Hypothesis","nstemi",1.0,95,33.81
68,"Case-09","Description Hypothesis","pyrosis",0.0,25,95.00
68,"Case-09","EKG Hypothesis","pyrosis",0.0,29,63.95
68,"Case-12","Description Hypothesis","myocardinfarct",0.0,36,87.33
68,"Case-12","EKG Hypothesis","myocardinfarct",0.0,26,18.94
68,"Case-13","Description Hypothesis","instabiele angina pectoris",1.0,56,57.46
68,"Case-13","EKG Hypothesis","iap",1.0,57,15.37
68,"Case-15","Description Hypothesis","myocardinfarct",1.0,43,84.25
68,"Case-15","EKG Hypothesis","myocardinfarct",1.0,44,31.47
68,"Case-16","Description Hypothesis","angina pectoris",1.0,62,48.80
68,"Case-16","EKG Hypothesis","angina pectoris",1.0,43,28.88
68,"Case-17","Description Hypothesis","pyrosis",0.0,60,122.25
68,"Case-17","EKG Hypothesis","pyrosis",0.0,26,19.78
68,"Case-19","Description Hypothesis","myocardinfarct",1.0,28,58.10
68,"Case-19","EKG Hypothesis","myocardinfarct",1.0,37,27.78
