Cycle,Case,Time
Description Cycle,Case-01,100.135
EKG Cycle,Case-01,86.432
Description Cycle,Case-02,61.31700000000001
EKG Cycle,Case-02,49.822
Description Cycle,Case-03,53.31999999999999
EKG Cycle,Case-03,71.20499999999998
Description Cycle,Case-07,61.150000000000034
EKG Cycle,Case-07,17.30000000000001
Description Cycle,Case-08,81.90899999999993
EKG Cycle,Case-08,50.34800000000007
Description Cycle,Case-09,63.60699999999997
EKG Cycle,Case-09,57.72000000000003
Description Cycle,Case-12,124.28999999999996
EKG Cycle,Case-12,64.31299999999999
Description Cycle,Case-13,31.935999999999922
EKG Cycle,Case-13,57.71300000000008
Description Cycle,Case-15,59.27999999999997
EKG Cycle,Case-15,33.36400000000003
Description Cycle,Case-16,99.04299999999989
EKG Cycle,Case-16,25.218000000000075
Description Cycle,Case-17,62.73700000000008
EKG Cycle,Case-17,40.23000000000002
Description Cycle,Case-19,71.72600000000011
EKG Cycle,Case-19,15.759999999999991
