Cycle,Case,Time
Description Cycle,Case-01,148.213
EKG Cycle,Case-01,41.934
Description Cycle,Case-02,40.384000000000015
EKG Cycle,Case-02,40.66199999999998
Description Cycle,Case-03,93.44
EKG Cycle,Case-03,48.94499999999999
Description Cycle,Case-07,77.77599999999995
EKG Cycle,Case-07,73.916
Description Cycle,Case-08,69.13400000000001
EKG Cycle,Case-08,55.13499999999999
Description Cycle,Case-09,52.605999999999995
EKG Cycle,Case-09,57.764999999999986
Description Cycle,Case-12,90.75400000000002
EKG Cycle,Case-12,27.442000000000007
Description Cycle,Case-13,40.51800000000003
EKG Cycle,Case-13,35.30099999999993
Description Cycle,Case-15,82.10100000000011
EKG Cycle,Case-15,22.192999999999984
Description Cycle,Case-16,116.769
EKG Cycle,Case-16,29.466000000000122
Description Cycle,Case-17,15.920000000000073
EKG Cycle,Case-17,8.877999999999929
Description Cycle,Case-19,43.48500000000013
EKG Cycle,Case-19,21.189999999999827
