Question,Answer,Case,Points
EKG Hypothesis,nste-acs,Case-01,1.0
EKG Confidence,60,Case-01,
Description Hypothesis,nste-acs,Case-01,1.0
Description Confidence,43,Case-01,
EKG Hypothesis,pyrosis/reflux,Case-02,1.0
EKG Confidence,70,Case-02,
Description Hypothesis,pyrosis,Case-02,1.0
Description Confidence,59,Case-02,
EKG Hypothesis,hyperventilatie,Case-03,1.0
EKG Confidence,70,Case-03,
Description Hypothesis,hyperventilatie,Case-03,1.0
Description Confidence,62,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,90,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,70,Case-07,
EKG Hypothesis,nste-acs,Case-08,1.0
EKG Confidence,70,Case-08,
Description Hypothesis,iap,Case-08,1.0
Description Confidence,65,Case-08,
EKG Hypothesis,stemi,Case-09,0.0
EKG Confidence,90,Case-09,
Description Hypothesis,nste-acs,Case-09,1.0
Description Confidence,50,Case-09,
EKG Hypothesis,reflux,Case-12,0.0
EKG Confidence,70,Case-12,
Description Hypothesis,reflux,Case-12,0.0
Description Confidence,40,Case-12,
EKG Hypothesis,ap,Case-13,0.5
EKG Confidence,60,Case-13,
Description Hypothesis,ap,Case-13,0.5
Description Confidence,61,Case-13,
EKG Hypothesis,nste-acs,Case-15,1.0
EKG Confidence,52,Case-15,
Description Hypothesis,infarct,Case-15,1.0
Description Confidence,61,Case-15,
EKG Hypothesis,nste-acs panischemie,Case-16,1.0
EKG Confidence,80,Case-16,
Description Hypothesis,iap,Case-16,1.0
Description Confidence,50,Case-16,
EKG Hypothesis,tako tsubo,Case-17,0.5
EKG Confidence,61,Case-17,
Description Hypothesis,stress,Case-17,0.5
Description Confidence,50,Case-17,
EKG Hypothesis,nste-acs,Case-19,1.0
EKG Confidence,75,Case-19,
Description Hypothesis,acs,Case-19,1.0
Description Confidence,61,Case-19,
