Cycle,Case,Time
Description Cycle,Case-01,169.59500000000003
EKG Cycle,Case-01,36.59299999999999
Description Cycle,Case-02,76.24300000000002
EKG Cycle,Case-02,39.47399999999999
Description Cycle,Case-03,50.156000000000006
EKG Cycle,Case-03,15.007000000000005
Description Cycle,Case-07,87.22700000000003
EKG Cycle,Case-07,21.077999999999975
Description Cycle,Case-08,76.6339999999999
EKG Cycle,Case-08,29.98700000000008
Description Cycle,Case-09,86.55799999999999
EKG Cycle,Case-09,60.86900000000003
Description Cycle,Case-12,106.08900000000006
EKG Cycle,Case-12,20.694999999999936
Description Cycle,Case-13,91.23699999999997
EKG Cycle,Case-13,18.586000000000013
Description Cycle,Case-15,69.86900000000003
EKG Cycle,Case-15,26.985000000000127
Description Cycle,Case-16,35.53500000000008
EKG Cycle,Case-16,16.325000000000045
Description Cycle,Case-17,86.27199999999993
EKG Cycle,Case-17,12.812000000000126
Description Cycle,Case-19,30.860999999999876
EKG Cycle,Case-19,8.873000000000047
