Cycle,Case,Time
Description Cycle,Case-01,99.587
EKG Cycle,Case-01,53.17400000000001
Description Cycle,Case-02,76.08600000000001
EKG Cycle,Case-02,30.69599999999997
Description Cycle,Case-03,42.089999999999975
EKG Cycle,Case-03,23.314999999999998
Description Cycle,Case-07,53.523000000000025
EKG Cycle,Case-07,15.625
Description Cycle,Case-08,78.03800000000001
EKG Cycle,Case-08,49.86900000000003
Description Cycle,Case-09,77.96600000000001
EKG Cycle,Case-09,58.27299999999991
Description Cycle,Case-12,145.65199999999993
EKG Cycle,Case-12,26.489000000000033
Description Cycle,Case-13,26.895999999999958
EKG Cycle,Case-13,17.126999999999953
Description Cycle,Case-15,30.134000000000015
EKG Cycle,Case-15,12.687000000000012
Description Cycle,Case-16,77.68200000000002
EKG Cycle,Case-16,24.06399999999985
Description Cycle,Case-17,131.1679999999999
EKG Cycle,Case-17,24.480999999999995
Description Cycle,Case-19,26.235999999999876
EKG Cycle,Case-19,13.758000000000038
