Cycle,Case,Time
Description Cycle,Case-01,129.079
EKG Cycle,Case-01,84.856
Description Cycle,Case-02,15.450999999999993
EKG Cycle,Case-02,33.33
Description Cycle,Case-03,64.067
EKG Cycle,Case-03,49.73100000000002
Description Cycle,Case-07,59.78199999999998
EKG Cycle,Case-07,36.547000000000025
Description Cycle,Case-08,75.923
EKG Cycle,Case-08,60.39299999999997
Description Cycle,Case-09,125.82300000000004
EKG Cycle,Case-09,89.78699999999992
Description Cycle,Case-12,143.64499999999998
EKG Cycle,Case-12,24.954000000000065
Description Cycle,Case-13,47.884000000000015
EKG Cycle,Case-13,42.283000000000015
Description Cycle,Case-15,88.81099999999992
EKG Cycle,Case-15,10.96000000000015
Description Cycle,Case-16,67.35100000000011
EKG Cycle,Case-16,21.94699999999989
Description Cycle,Case-17,50.31700000000001
EKG Cycle,Case-17,11.420000000000073
Description Cycle,Case-19,24.49000000000001
EKG Cycle,Case-19,10.490000000000009
