Cycle,Case,Time
Description Cycle,Case-01,17.672999999999988
EKG Cycle,Case-01,55.583
Description Cycle,Case-02,92.71100000000001
EKG Cycle,Case-02,54.406000000000006
Description Cycle,Case-03,42.55800000000005
EKG Cycle,Case-03,46.127999999999986
Description Cycle,Case-07,50.14699999999999
EKG Cycle,Case-07,33.382000000000005
Description Cycle,Case-08,38.099000000000046
EKG Cycle,Case-08,35.705999999999904
Description Cycle,Case-09,59.236999999999966
EKG Cycle,Case-09,77.85199999999998
Description Cycle,Case-12,60.844999999999914
EKG Cycle,Case-12,37.44100000000003
Description Cycle,Case-13,44.51800000000003
EKG Cycle,Case-13,64.61699999999996
Description Cycle,Case-15,40.471000000000004
EKG Cycle,Case-15,19.444000000000074
Description Cycle,Case-16,33.73700000000008
EKG Cycle,Case-16,34.993999999999915
Description Cycle,Case-17,62.15800000000013
EKG Cycle,Case-17,32.761999999999944
Description Cycle,Case-19,36.113000000000056
EKG Cycle,Case-19,22.698000000000093
