Question,Answer,Case,Points
EKG Hypothesis,nstemi,Case-01,1.0
EKG Confidence,85,Case-01,
Description Hypothesis,acs,Case-01,1.0
Description Confidence,60,Case-01,
EKG Hypothesis,gastrointestinal,Case-02,1.0
EKG Confidence,65,Case-02,
Description Hypothesis,gastrointestinal,Case-02,1.0
Description Confidence,85,Case-02,
EKG Hypothesis,tendomyogenic,Case-03,1.0
EKG Confidence,85,Case-03,
Description Hypothesis,tendomyogenic,Case-03,1.0
Description Confidence,85,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,91,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,50,Case-07,
EKG Hypothesis,acs,Case-08,1.0
EKG Confidence,90,Case-08,
Description Hypothesis,acs,Case-08,1.0
Description Confidence,70,Case-08,
EKG Hypothesis,acs,Case-09,1.0
EKG Confidence,84,Case-09,
Description Hypothesis,acs,Case-09,1.0
Description Confidence,75,Case-09,
EKG Hypothesis,transient tachycardia,Case-12,0.5
EKG Confidence,60,Case-12,
Description Hypothesis,afib,Case-12,0.5
Description Confidence,50,Case-12,
EKG Hypothesis,acs,Case-13,1.0
EKG Confidence,90,Case-13,
Description Hypothesis,acs,Case-13,1.0
Description Confidence,81,Case-13,
EKG Hypothesis,acs,Case-15,1.0
EKG Confidence,90,Case-15,
Description Hypothesis,acs,Case-15,1.0
Description Confidence,89,Case-15,
EKG Hypothesis,acs 3vd,Case-16,1.0
EKG Confidence,89,Case-16,
Description Hypothesis,acs,Case-16,1.0
Description Confidence,80,Case-16,
EKG Hypothesis,acs,Case-17,0.5
EKG Confidence,80,Case-17,
Description Hypothesis,hyperventilation,Case-17,0.0
Description Confidence,61,Case-17,
EKG Hypothesis,acs,Case-19,1.0
EKG Confidence,80,Case-19,
Description Hypothesis,acs,Case-19,1.0
Description Confidence,72,Case-19,
