Cycle,Case,Time
Description Cycle,Case-01,119.38
EKG Cycle,Case-01,61.44699999999999
Description Cycle,Case-02,114.32700000000003
EKG Cycle,Case-02,82.79799999999994
Description Cycle,Case-03,66.983
EKG Cycle,Case-03,37.894000000000005
Description Cycle,Case-07,47.105999999999995
EKG Cycle,Case-07,47.86800000000005
Description Cycle,Case-08,55.03099999999995
EKG Cycle,Case-08,43.315000000000055
Description Cycle,Case-09,42.79399999999998
EKG Cycle,Case-09,51.95300000000009
Description Cycle,Case-12,60.446000000000026
EKG Cycle,Case-12,16.668999999999983
Description Cycle,Case-13,70.851
EKG Cycle,Case-13,52.325000000000045
Description Cycle,Case-15,52.93599999999992
EKG Cycle,Case-15,36.04600000000005
Description Cycle,Case-16,65.73900000000003
EKG Cycle,Case-16,34.22399999999993
Description Cycle,Case-17,53.9369999999999
EKG Cycle,Case-17,27.31100000000015
Description Cycle,Case-19,34.33600000000001
EKG Cycle,Case-19,17.61200000000008
