Cycle,Case,Time
Description Cycle,Case-01,67.798
EKG Cycle,Case-01,24.537999999999997
Description Cycle,Case-02,71.49400000000003
EKG Cycle,Case-02,68.45999999999998
Description Cycle,Case-03,37.91500000000002
EKG Cycle,Case-03,88.82499999999999
Description Cycle,Case-07,55.764999999999986
EKG Cycle,Case-07,47.016000000000076
Description Cycle,Case-08,41.49699999999996
EKG Cycle,Case-08,50.438999999999965
Description Cycle,Case-09,81.41899999999998
EKG Cycle,Case-09,55.543000000000006
Description Cycle,Case-12,181.10299999999995
EKG Cycle,Case-12,64.745
Description Cycle,Case-13,24.04600000000005
EKG Cycle,Case-13,53.24599999999987
Description Cycle,Case-15,46.141999999999825
EKG Cycle,Case-15,47.08100000000013
Description Cycle,Case-16,57.05600000000004
EKG Cycle,Case-16,35.330999999999904
Description Cycle,Case-17,66.54199999999992
EKG Cycle,Case-17,38.85200000000009
Description Cycle,Case-19,44.28099999999995
EKG Cycle,Case-19,27.90599999999995
