Question,Answer,Case,Points
EKG Hypothesis,acs,Case-01,1.0
EKG Confidence,64,Case-01,
Description Hypothesis,acs,Case-01,1.0
Description Confidence,51,Case-01,
EKG Hypothesis,gastro intestinaal,Case-02,1.0
EKG Confidence,78,Case-02,
Description Hypothesis,gastro intestinaal,Case-02,1.0
Description Confidence,74,Case-02,
EKG Hypothesis,costo myogeen,Case-03,1.0
EKG Confidence,77,Case-03,
Description Hypothesis,costo myogeen,Case-03,1.0
Description Confidence,73,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,77,Case-07,
Description Hypothesis,costo myogeen,Case-07,0.0
Description Confidence,55,Case-07,
EKG Hypothesis,acs,Case-08,1.0
EKG Confidence,78,Case-08,
Description Hypothesis,progressieve ap,Case-08,1.0
Description Confidence,61,Case-08,
EKG Hypothesis,acs,Case-09,1.0
EKG Confidence,57,Case-09,
Description Hypothesis,acs,Case-09,1.0
Description Confidence,49,Case-09,
EKG Hypothesis,hypertensie,Case-12,0.0
EKG Confidence,39,Case-12,
Description Hypothesis,hypertension,Case-12,0.0
Description Confidence,68,Case-12,
EKG Hypothesis,iap,Case-13,1.0
EKG Confidence,59,Case-13,
Description Hypothesis,iap,Case-13,1.0
Description Confidence,48,Case-13,
EKG Hypothesis,acs,Case-15,1.0
EKG Confidence,62,Case-15,
Description Hypothesis,acs,Case-15,1.0
Description Confidence,58,Case-15,
EKG Hypothesis,acs,Case-16,1.0
EKG Confidence,57,Case-16,
Description Hypothesis,acs,Case-16,1.0
Description Confidence,43,Case-16,
EKG Hypothesis,stress,Case-17,0.5
EKG Confidence,54,Case-17,
Description Hypothesis,stress,Case-17,0.5
Description Confidence,48,Case-17,
EKG Hypothesis,nstemi,Case-19,1.0
EKG Confidence,51,Case-19,
Description Hypothesis,acs,Case-19,1.0
Description Confidence,53,Case-19,
