Question,Answer,Case,Points
EKG Hypothesis,acs,Case-01,1.0
EKG Confidence,55,Case-01,
Description Hypothesis,acs,Case-01,1.0
Description Confidence,28,Case-01,
EKG Hypothesis,castro oesofageaal,Case-02,1.0
EKG Confidence,74,Case-02,
Description Hypothesis,castro oesofageaal,Case-02,1.0
Description Confidence,62,Case-02,
EKG Hypothesis,tendomyogeen,Case-03,1.0
EKG Confidence,67,Case-03,
Description Hypothesis,tendomyogen,Case-03,1.0
Description Confidence,63,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,69,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,52,Case-07,
EKG Hypothesis,acs,Case-08,1.0
EKG Confidence,78,Case-08,
Description Hypothesis,instabiele ap/acs,Case-08,1.0
Description Confidence,60,Case-08,
EKG Hypothesis,pneumonie,Case-09,0.0
EKG Confidence,67,Case-09,
Description Hypothesis,pneumonie,Case-09,0.0
Description Confidence,61,Case-09,
EKG Hypothesis,hyperventilatie,Case-12,0.0
EKG Confidence,67,Case-12,
Description Hypothesis,hyperventilatie,Case-12,0.0
Description Confidence,60,Case-12,
EKG Hypothesis,acs,Case-13,1.0
EKG Confidence,76,Case-13,
Description Hypothesis,acs,Case-13,1.0
Description Confidence,80,Case-13,
EKG Hypothesis,acs,Case-15,1.0
EKG Confidence,69,Case-15,
Description Hypothesis,acs,Case-15,1.0
Description Confidence,74,Case-15,
EKG Hypothesis,acs,Case-16,1.0
EKG Confidence,68,Case-16,
Description Hypothesis,angina pectoris,Case-16,1.0
Description Confidence,64,Case-16,
EKG Hypothesis,ap,Case-17,0.5
EKG Confidence,34,Case-17,
Description Hypothesis,niet cardiaal,Case-17,1.0
Description Confidence,67,Case-17,
EKG Hypothesis,acs,Case-19,1.0
EKG Confidence,56,Case-19,
Description Hypothesis,acs,Case-19,1.0
Description Confidence,63,Case-19,
