Question,Answer,Case,Points
EKG Hypothesis,acs,Case-01,1.0
EKG Confidence,58,Case-01,
Description Hypothesis,gastritis,Case-01,0.0
Description Confidence,96,Case-01,
EKG Hypothesis,gatritis,Case-02,1.0
EKG Confidence,79,Case-02,
Description Hypothesis,gastritis,Case-02,1.0
Description Confidence,69,Case-02,
EKG Hypothesis,costomyogeen,Case-03,1.0
EKG Confidence,100,Case-03,
Description Hypothesis,costomyogeen,Case-03,1.0
Description Confidence,99,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,100,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,82,Case-07,
EKG Hypothesis,acs,Case-08,1.0
EKG Confidence,96,Case-08,
Description Hypothesis,acs,Case-08,1.0
Description Confidence,83,Case-08,
EKG Hypothesis,costomyogeen,Case-09,0.0
EKG Confidence,24,Case-09,
Description Hypothesis,acs,Case-09,1.0
Description Confidence,80,Case-09,
EKG Hypothesis,vadovagaal,Case-12,0.5
EKG Confidence,99,Case-12,
Description Hypothesis,vasovagaal,Case-12,0.5
Description Confidence,95,Case-12,
EKG Hypothesis,iap,Case-13,1.0
EKG Confidence,85,Case-13,
Description Hypothesis,oesodagusspasme,Case-13,0.0
Description Confidence,76,Case-13,
EKG Hypothesis,acs,Case-15,1.0
EKG Confidence,67,Case-15,
Description Hypothesis,acs,Case-15,1.0
Description Confidence,100,Case-15,
EKG Hypothesis,acs,Case-16,1.0
EKG Confidence,89,Case-16,
Description Hypothesis,acs,Case-16,1.0
Description Confidence,90,Case-16,
EKG Hypothesis,acs,Case-17,0.5
EKG Confidence,61,Case-17,
Description Hypothesis,gastritis,Case-17,0.0
Description Confidence,90,Case-17,
EKG Hypothesis,psychogeeb,Case-19,0.0
EKG Confidence,100,Case-19,
Description Hypothesis,psychogeen,Case-19,0.0
Description Confidence,99,Case-19,
