Question,Answer,Case,Points
EKG Hypothesis,nstemi,Case-01,1.0
EKG Confidence,60,Case-01,
Description Hypothesis,nstemi,Case-01,1.0
Description Confidence,50,Case-01,
EKG Hypothesis,gi,Case-02,1.0
EKG Confidence,72,Case-02,
Description Hypothesis,gastro intestinaal,Case-02,1.0
Description Confidence,52,Case-02,
EKG Hypothesis,hyperventilatie,Case-03,1.0
EKG Confidence,79,Case-03,
Description Hypothesis,hyperventilatie,Case-03,1.0
Description Confidence,85,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,88,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,55,Case-07,
EKG Hypothesis,nstemi,Case-08,1.0
EKG Confidence,95,Case-08,
Description Hypothesis,myocardinfarct,Case-08,1.0
Description Confidence,71,Case-08,
EKG Hypothesis,pyrosis,Case-09,0.0
EKG Confidence,29,Case-09,
Description Hypothesis,pyrosis,Case-09,0.0
Description Confidence,25,Case-09,
EKG Hypothesis,myocardinfarct,Case-12,0.0
EKG Confidence,26,Case-12,
Description Hypothesis,myocardinfarct,Case-12,0.0
Description Confidence,36,Case-12,
EKG Hypothesis,iap,Case-13,1.0
EKG Confidence,57,Case-13,
Description Hypothesis,instabiele angina pectoris,Case-13,1.0
Description Confidence,56,Case-13,
EKG Hypothesis,myocardinfarct,Case-15,1.0
EKG Confidence,44,Case-15,
Description Hypothesis,myocardinfarct,Case-15,1.0
Description Confidence,43,Case-15,
EKG Hypothesis,angina pectoris,Case-16,1.0
EKG Confidence,43,Case-16,
Description Hypothesis,angina pectoris,Case-16,1.0
Description Confidence,62,Case-16,
EKG Hypothesis,pyrosis,Case-17,0.0
EKG Confidence,26,Case-17,
Description Hypothesis,pyrosis,Case-17,0.0
Description Confidence,60,Case-17,
EKG Hypothesis,myocardinfarct,Case-19,1.0
EKG Confidence,37,Case-19,
Description Hypothesis,myocardinfarct,Case-19,1.0
Description Confidence,28,Case-19,
