Cycle,Case,Time
Description Cycle,Case-01,81.17699999999999
EKG Cycle,Case-01,52.242999999999995
Description Cycle,Case-02,87.19999999999999
EKG Cycle,Case-02,95.14699999999999
Description Cycle,Case-03,84.904
EKG Cycle,Case-03,49.918000000000006
Description Cycle,Case-07,65.27900000000005
EKG Cycle,Case-07,79.39999999999998
Description Cycle,Case-08,83.50699999999995
EKG Cycle,Case-08,78.06200000000001
Description Cycle,Case-09,58.351999999999975
EKG Cycle,Case-09,87.63
Description Cycle,Case-12,117.63
EKG Cycle,Case-12,66.606
Description Cycle,Case-13,78.125
EKG Cycle,Case-13,29.69699999999989
Description Cycle,Case-15,33.99199999999996
EKG Cycle,Case-15,33.95499999999993
Description Cycle,Case-16,47.659999999999854
EKG Cycle,Case-16,51.16000000000008
Description Cycle,Case-17,59.81099999999992
EKG Cycle,Case-17,49.00199999999995
Description Cycle,Case-19,47.965999999999894
EKG Cycle,Case-19,26.87000000000012
