Cycle,Case,Time
Description Cycle,Case-01,116.28899999999999
EKG Cycle,Case-01,44.170000000000016
Description Cycle,Case-02,102.17800000000003
EKG Cycle,Case-02,101.36899999999997
Description Cycle,Case-03,81.41999999999996
EKG Cycle,Case-03,31.0
Description Cycle,Case-07,67.92100000000005
EKG Cycle,Case-07,34.7349999999999
Description Cycle,Case-08,49.27099999999996
EKG Cycle,Case-08,33.65599999999995
Description Cycle,Case-09,67.40200000000004
EKG Cycle,Case-09,36.09299999999996
Description Cycle,Case-12,148.74299999999994
EKG Cycle,Case-12,58.11500000000001
Description Cycle,Case-13,36.45999999999992
EKG Cycle,Case-13,37.14200000000005
Description Cycle,Case-15,43.972999999999956
EKG Cycle,Case-15,15.154999999999973
Description Cycle,Case-16,51.1400000000001
EKG Cycle,Case-16,23.69399999999996
Description Cycle,Case-17,81.18899999999985
EKG Cycle,Case-17,19.97400000000016
Description Cycle,Case-19,50.705999999999904
EKG Cycle,Case-19,24.214999999999918
