Cycle,Case,Time
Description Cycle,Case-01,45.035000000000004
EKG Cycle,Case-01,28.486999999999995
Description Cycle,Case-02,30.302999999999983
EKG Cycle,Case-02,37.432000000000016
Description Cycle,Case-03,34.03799999999998
EKG Cycle,Case-03,26.266999999999996
Description Cycle,Case-07,66.66899999999998
EKG Cycle,Case-07,21.99599999999998
Description Cycle,Case-08,36.09300000000002
EKG Cycle,Case-08,41.93799999999999
Description Cycle,Case-09,75.59199999999998
EKG Cycle,Case-09,48.77800000000008
Description Cycle,Case-12,53.71900000000005
EKG Cycle,Case-12,27.39300000000003
Description Cycle,Case-13,25.187999999999988
EKG Cycle,Case-13,24.41700000000003
Description Cycle,Case-15,35.567999999999984
EKG Cycle,Case-15,21.096000000000004
Description Cycle,Case-16,41.15300000000002
EKG Cycle,Case-16,19.623000000000047
Description Cycle,Case-17,41.1640000000001
EKG Cycle,Case-17,25.591999999999985
Description Cycle,Case-19,25.091000000000008
EKG Cycle,Case-19,23.104000000000042
