Cycle,Case,Time
Description Cycle,Case-01,151.426
EKG Cycle,Case-01,38.10300000000001
Description Cycle,Case-02,49.35100000000003
EKG Cycle,Case-02,58.55199999999999
Description Cycle,Case-03,37.48599999999999
EKG Cycle,Case-03,48.774
Description Cycle,Case-07,26.096000000000004
EKG Cycle,Case-07,29.454000000000008
Description Cycle,Case-08,40.351999999999975
EKG Cycle,Case-08,54.11899999999997
Description Cycle,Case-09,67.35799999999995
EKG Cycle,Case-09,63.06600000000003
Description Cycle,Case-12,123.96500000000003
EKG Cycle,Case-12,39.341999999999985
Description Cycle,Case-13,83.30099999999993
EKG Cycle,Case-13,43.164999999999964
Description Cycle,Case-15,63.639999999999986
EKG Cycle,Case-15,51.444999999999936
Description Cycle,Case-16,48.56600000000003
EKG Cycle,Case-16,36.86699999999996
Description Cycle,Case-17,57.85900000000015
EKG Cycle,Case-17,25.757000000000062
Description Cycle,Case-19,58.83699999999999
EKG Cycle,Case-19,25.23199999999997
