Cycle,Case,Time
Description Cycle,Case-01,71.295
EKG Cycle,Case-01,27.492000000000004
Description Cycle,Case-02,104.284
EKG Cycle,Case-02,36.822
Description Cycle,Case-03,79.72900000000001
EKG Cycle,Case-03,22.767999999999972
Description Cycle,Case-07,52.990999999999985
EKG Cycle,Case-07,30.562999999999988
Description Cycle,Case-08,44.80200000000002
EKG Cycle,Case-08,29.927999999999997
Description Cycle,Case-09,41.33100000000002
EKG Cycle,Case-09,95.30499999999995
Description Cycle,Case-12,16.913999999999987
EKG Cycle,Case-12,65.91499999999996
Description Cycle,Case-13,23.279999999999973
EKG Cycle,Case-13,25.012000000000057
Description Cycle,Case-15,32.5329999999999
EKG Cycle,Case-15,28.167000000000144
Description Cycle,Case-16,69.62599999999998
EKG Cycle,Case-16,55.674999999999955
Description Cycle,Case-17,81.01199999999994
EKG Cycle,Case-17,31.927999999999884
Description Cycle,Case-19,36.087999999999965
EKG Cycle,Case-19,23.557000000000016
