Question,Answer,Case,Points
EKG Hypothesis,doorgemaakt ip infarct. st depressie lateraal.. dd maag,Case-01,0.5
EKG Confidence,72,Case-01,
Description Hypothesis,acs,Case-01,1.0
Description Confidence,71,Case-01,
EKG Hypothesis,geen acs.. maagklachten,Case-02,1.0
EKG Confidence,85,Case-02,
Description Hypothesis,maagklachten,Case-02,1.0
Description Confidence,73,Case-02,
EKG Hypothesis,hyperventilatie.. dd le danwel costomyogeen; geen acd,Case-03,1.0
EKG Confidence,82,Case-03,
Description Hypothesis,hyperventilatie,Case-03,1.0
Description Confidence,72,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,90,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,75,Case-07,
EKG Hypothesis,iap: proximale lad letsel,Case-08,1.0
EKG Confidence,98,Case-08,
Description Hypothesis,iap,Case-08,1.0
Description Confidence,75,Case-08,
EKG Hypothesis,pericarditis/pleuritis; geen acs; slecht ecg,Case-09,0.0
EKG Confidence,72,Case-09,
Description Hypothesis,pleuritis bij pneumonie,Case-09,0.0
Description Confidence,76,Case-09,
EKG Hypothesis,acs dd gastro,Case-12,0.0
EKG Confidence,57,Case-12,
Description Hypothesis,acs,Case-12,0.0
Description Confidence,60,Case-12,
EKG Hypothesis,geen acs ecg.. markers afwachten,Case-13,0.5
EKG Confidence,43,Case-13,
Description Hypothesis,acs,Case-13,1.0
Description Confidence,73,Case-13,
EKG Hypothesis,iap,Case-15,1.0
EKG Confidence,85,Case-15,
Description Hypothesis,iap,Case-15,1.0
Description Confidence,85,Case-15,
EKG Hypothesis,acs met panischemie ecg dd 3vd dd hoofdstam,Case-16,1.0
EKG Confidence,80,Case-16,
Description Hypothesis,acs,Case-16,1.0
Description Confidence,72,Case-16,
EKG Hypothesis,gastro intestinaal / spanning: ecg lvh,Case-17,0.0
EKG Confidence,77,Case-17,
Description Hypothesis,gastro intestinaal/spanning,Case-17,0.0
Description Confidence,71,Case-17,
EKG Hypothesis,nstemi.. doorgemaakt posterior infarct op ecg..,Case-19,0.5
EKG Confidence,72,Case-19,
Description Hypothesis,acs,Case-19,1.0
Description Confidence,80,Case-19,
