Cycle,Case,Time
Description Cycle,Case-01,142.301
EKG Cycle,Case-01,29.542
Description Cycle,Case-02,40.519000000000005
EKG Cycle,Case-02,44.896000000000015
Description Cycle,Case-03,24.086000000000013
EKG Cycle,Case-03,19.031999999999925
Description Cycle,Case-07,41.615999999999985
EKG Cycle,Case-07,17.702999999999975
Description Cycle,Case-08,34.00800000000004
EKG Cycle,Case-08,23.447000000000003
Description Cycle,Case-09,29.660000000000082
EKG Cycle,Case-09,29.218999999999937
Description Cycle,Case-12,90.62599999999998
EKG Cycle,Case-12,24.153999999999996
Description Cycle,Case-13,55.591999999999985
EKG Cycle,Case-13,19.805000000000064
Description Cycle,Case-15,32.447
EKG Cycle,Case-15,16.865999999999985
Description Cycle,Case-16,77.05299999999988
EKG Cycle,Case-16,45.947000000000116
Description Cycle,Case-17,49.80899999999997
EKG Cycle,Case-17,35.61500000000001
Description Cycle,Case-19,31.71400000000017
EKG Cycle,Case-19,20.0
