Cycle,Case,Time
Description Cycle,Case-01,107.349
EKG Cycle,Case-01,32.709999999999994
Description Cycle,Case-02,8.884999999999991
EKG Cycle,Case-02,11.641999999999996
Description Cycle,Case-03,
EKG Cycle,Case-03,
Description Cycle,Case-07,25.918000000000006
EKG Cycle,Case-07,13.132000000000005
Description Cycle,Case-08,30.675999999999988
EKG Cycle,Case-08,15.420000000000016
Description Cycle,Case-09,65.91499999999996
EKG Cycle,Case-09,105.70500000000004
Description Cycle,Case-12,93.41099999999994
EKG Cycle,Case-12,33.735000000000014
Description Cycle,Case-13,24.39300000000003
EKG Cycle,Case-13,33.30200000000002
Description Cycle,Case-15,43.24199999999996
EKG Cycle,Case-15,16.957000000000107
Description Cycle,Case-16,60.27699999999993
EKG Cycle,Case-16,33.1400000000001
Description Cycle,Case-17,41.06700000000001
EKG Cycle,Case-17,20.87900000000002
Description Cycle,Case-19,42.85100000000011
EKG Cycle,Case-19,17.55099999999993
