Cycle,Case,Time
Description Cycle,Case-01,89.83699999999999
EKG Cycle,Case-01,40.72200000000001
Description Cycle,Case-02,50.06700000000001
EKG Cycle,Case-02,30.710999999999984
Description Cycle,Case-03,46.795000000000016
EKG Cycle,Case-03,34.714999999999975
Description Cycle,Case-07,28.002999999999986
EKG Cycle,Case-07,24.663999999999987
Description Cycle,Case-08,31.942999999999984
EKG Cycle,Case-08,51.821000000000026
Description Cycle,Case-09,50.48999999999995
EKG Cycle,Case-09,56.18200000000007
Description Cycle,Case-12,88.34500000000003
EKG Cycle,Case-12,44.11299999999994
Description Cycle,Case-13,32.580999999999904
EKG Cycle,Case-13,38.662000000000035
Description Cycle,Case-15,26.573999999999955
EKG Cycle,Case-15,19.019000000000005
Description Cycle,Case-16,27.77800000000002
EKG Cycle,Case-16,50.67700000000002
Description Cycle,Case-17,41.017999999999915
EKG Cycle,Case-17,29.956000000000017
Description Cycle,Case-19,31.076999999999998
EKG Cycle,Case-19,16.983999999999924
