Cycle,Case,Time
Description Cycle,Case-01,118.077
EKG Cycle,Case-01,52.506000000000014
Description Cycle,Case-02,47.20700000000002
EKG Cycle,Case-02,66.00099999999998
Description Cycle,Case-03,16.03000000000003
EKG Cycle,Case-03,39.303
Description Cycle,Case-07,60.25899999999996
EKG Cycle,Case-07,28.561000000000035
Description Cycle,Case-08,63.061000000000035
EKG Cycle,Case-08,67.45600000000002
Description Cycle,Case-09,35.351999999999975
EKG Cycle,Case-09,62.38199999999995
Description Cycle,Case-12,71.83299999999997
EKG Cycle,Case-12,41.83299999999997
Description Cycle,Case-13,38.077999999999975
EKG Cycle,Case-13,90.96300000000008
Description Cycle,Case-15,69.34300000000007
EKG Cycle,Case-15,21.569999999999936
Description Cycle,Case-16,42.96799999999985
EKG Cycle,Case-16,13.244000000000142
Description Cycle,Case-17,44.13000000000011
EKG Cycle,Case-17,28.031999999999925
Description Cycle,Case-19,28.511999999999944
EKG Cycle,Case-19,43.51800000000003
