Cycle,Case,Time
Description Cycle,Case-01,45.403999999999996
EKG Cycle,Case-01,89.69100000000002
Description Cycle,Case-02,67.03799999999998
EKG Cycle,Case-02,42.20400000000001
Description Cycle,Case-03,57.33300000000003
EKG Cycle,Case-03,24.93900000000002
Description Cycle,Case-07,77.738
EKG Cycle,Case-07,48.24700000000007
Description Cycle,Case-08,15.021000000000072
EKG Cycle,Case-08,53.53399999999999
Description Cycle,Case-09,78.53899999999999
EKG Cycle,Case-09,41.03399999999999
Description Cycle,Case-12,38.61799999999994
EKG Cycle,Case-12,28.66700000000003
Description Cycle,Case-13,46.96900000000005
EKG Cycle,Case-13,30.148000000000025
Description Cycle,Case-15,53.17599999999993
EKG Cycle,Case-15,34.649000000000115
Description Cycle,Case-16,66.95399999999995
EKG Cycle,Case-16,36.950000000000045
Description Cycle,Case-17,48.105999999999995
EKG Cycle,Case-17,16.7170000000001
Description Cycle,Case-19,38.090999999999894
EKG Cycle,Case-19,21.794000000000096
