Question,Answer,Case,Points
EKG Hypothesis,acs,Case-01,1.0
EKG Confidence,70,Case-01,
Description Hypothesis,reflux dd acs,Case-01,0.0
Description Confidence,71,Case-01,
EKG Hypothesis,maagklachten,Case-02,1.0
EKG Confidence,78,Case-02,
Description Hypothesis,maagklachten,Case-02,1.0
Description Confidence,97,Case-02,
EKG Hypothesis,hyperventilatie,Case-03,1.0
EKG Confidence,65,Case-03,
Description Hypothesis,hyperventilatie,Case-03,1.0
Description Confidence,68,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,66,Case-07,
Description Hypothesis,pericaridits,Case-07,1.0
Description Confidence,64,Case-07,
EKG Hypothesis,acs,Case-08,1.0
EKG Confidence,90,Case-08,
Description Hypothesis,acs,Case-08,1.0
Description Confidence,71,Case-08,
EKG Hypothesis,acs,Case-09,1.0
EKG Confidence,91,Case-09,
Description Hypothesis,acs,Case-09,1.0
Description Confidence,77,Case-09,
EKG Hypothesis,svt,Case-12,0.5
EKG Confidence,88,Case-12,
Description Hypothesis,svt,Case-12,0.5
Description Confidence,68,Case-12,
EKG Hypothesis,acs,Case-13,1.0
EKG Confidence,87,Case-13,
Description Hypothesis,acs,Case-13,1.0
Description Confidence,73,Case-13,
EKG Hypothesis,acs,Case-15,1.0
EKG Confidence,71,Case-15,
Description Hypothesis,acs,Case-15,1.0
Description Confidence,100,Case-15,
EKG Hypothesis,panischemie,Case-16,1.0
EKG Confidence,87,Case-16,
Description Hypothesis,acs,Case-16,1.0
Description Confidence,74,Case-16,
EKG Hypothesis,cardiale ischemie,Case-17,0.5
EKG Confidence,73,Case-17,
Description Hypothesis,stress,Case-17,0.5
Description Confidence,84,Case-17,
EKG Hypothesis,gastritis,Case-19,0.0
EKG Confidence,90,Case-19,
Description Hypothesis,gastritis,Case-19,0.0
Description Confidence,73,Case-19,
