Question,Answer,Case,Points
EKG Hypothesis,nstemi,Case-01,1.0
EKG Confidence,66,Case-01,
Description Hypothesis,nstemi,Case-01,1.0
Description Confidence,64,Case-01,
EKG Hypothesis,gastro-intestinaal probleem,Case-02,1.0
EKG Confidence,94,Case-02,
Description Hypothesis,gastro-intestinaal probleem,Case-02,1.0
Description Confidence,91,Case-02,
EKG Hypothesis,hyperventilatie,Case-03,1.0
EKG Confidence,98,Case-03,
Description Hypothesis,hyperventilatie,Case-03,1.0
Description Confidence,97,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,100,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,92,Case-07,
EKG Hypothesis,nstemi,Case-08,1.0
EKG Confidence,100,Case-08,
Description Hypothesis,iap,Case-08,1.0
Description Confidence,100,Case-08,
EKG Hypothesis,subacuut lateraal infarct,Case-09,0.5
EKG Confidence,100,Case-09,
Description Hypothesis,nstemi,Case-09,1.0
Description Confidence,90,Case-09,
,,Case-12,
,,Case-13,
EKG Hypothesis,nstemi/iap,Case-15,1.0
EKG Confidence,100,Case-15,
Description Hypothesis,nstemi,Case-15,1.0
Description Confidence,83,Case-15,
EKG Hypothesis,nstemi panischemie,Case-16,1.0
EKG Confidence,89,Case-16,
Description Hypothesis,angina pectoris,Case-16,1.0
Description Confidence,86,Case-16,
EKG Hypothesis,takotsubo cmp,Case-17,0.5
EKG Confidence,81,Case-17,
Description Hypothesis,stress,Case-17,0.5
Description Confidence,93,Case-17,
EKG Hypothesis,nstemi,Case-19,1.0
EKG Confidence,84,Case-19,
Description Hypothesis,nstemi,Case-19,1.0
Description Confidence,89,Case-19,
