Question,Answer,Case,Points
EKG Hypothesis,acs,Case-01,1.0
EKG Confidence,48,Case-01,
Description Hypothesis,acs,Case-01,1.0
Description Confidence,64,Case-01,
EKG Hypothesis,gastro esofagaal,Case-02,1.0
EKG Confidence,73,Case-02,
Description Hypothesis,gastro-esofagaal,Case-02,1.0
Description Confidence,77,Case-02,
EKG Hypothesis,tendomyalgeen,Case-03,1.0
EKG Confidence,86,Case-03,
Description Hypothesis,tendomyalgeen,Case-03,1.0
Description Confidence,64,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,98,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,66,Case-07,
EKG Hypothesis,ap,Case-08,1.0
EKG Confidence,77,Case-08,
Description Hypothesis,ap,Case-08,1.0
Description Confidence,71,Case-08,
EKG Hypothesis,pneumonie,Case-09,0.0
EKG Confidence,62,Case-09,
Description Hypothesis,pneumonie,Case-09,0.0
Description Confidence,74,Case-09,
EKG Hypothesis,hvs,Case-12,0.0
EKG Confidence,90,Case-12,
Description Hypothesis,hvs,Case-12,0.0
Description Confidence,79,Case-12,
EKG Hypothesis,tendomyalgeen,Case-13,0.0
EKG Confidence,66,Case-13,
Description Hypothesis,tendomyalgeen,Case-13,0.0
Description Confidence,64,Case-13,
EKG Hypothesis,iap,Case-15,1.0
EKG Confidence,59,Case-15,
Description Hypothesis,iap,Case-15,1.0
Description Confidence,64,Case-15,
EKG Hypothesis,ap,Case-16,1.0
EKG Confidence,68,Case-16,
Description Hypothesis,ap,Case-16,1.0
Description Confidence,73,Case-16,
EKG Hypothesis,ap,Case-17,0.5
EKG Confidence,18,Case-17,
Description Hypothesis,oesofagus spasme,Case-17,0.0
Description Confidence,62,Case-17,
EKG Hypothesis,iap,Case-19,1.0
EKG Confidence,79,Case-19,
Description Hypothesis,iap,Case-19,1.0
Description Confidence,76,Case-19,
