Question,Answer,Case,Points
EKG Hypothesis,acs,Case-01,1.0
EKG Confidence,94,Case-01,
Description Hypothesis,acs,Case-01,1.0
Description Confidence,78,Case-01,
EKG Hypothesis,maagklachten,Case-02,1.0
EKG Confidence,68,Case-02,
Description Hypothesis,maagklachten,Case-02,1.0
Description Confidence,60,Case-02,
EKG Hypothesis,pericarditis,Case-03,0.5
EKG Confidence,75,Case-03,
Description Hypothesis,pericarditis,Case-03,0.5
Description Confidence,71,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,90,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,85,Case-07,
EKG Hypothesis,acs,Case-08,1.0
EKG Confidence,90,Case-08,
Description Hypothesis,instabiele ap,Case-08,1.0
Description Confidence,72,Case-08,
EKG Hypothesis,acs,Case-09,1.0
EKG Confidence,34,Case-09,
Description Hypothesis,acs,Case-09,1.0
Description Confidence,70,Case-09,
EKG Hypothesis,paroxysme af,Case-12,0.5
EKG Confidence,23,Case-12,
Description Hypothesis,snel af,Case-12,0.5
Description Confidence,35,Case-12,
EKG Hypothesis,acs,Case-13,1.0
EKG Confidence,81,Case-13,
Description Hypothesis,acs,Case-13,1.0
Description Confidence,69,Case-13,
EKG Hypothesis,acs,Case-15,1.0
EKG Confidence,70,Case-15,
Description Hypothesis,acs,Case-15,1.0
Description Confidence,75,Case-15,
EKG Hypothesis,acs,Case-16,1.0
EKG Confidence,75,Case-16,
Description Hypothesis,acs,Case-16,1.0
Description Confidence,58,Case-16,
EKG Hypothesis,acs,Case-17,0.5
EKG Confidence,68,Case-17,
Description Hypothesis,slokdarmspasme,Case-17,0.0
Description Confidence,43,Case-17,
EKG Hypothesis,iap,Case-19,1.0
EKG Confidence,60,Case-19,
Description Hypothesis,iap,Case-19,1.0
Description Confidence,68,Case-19,
