Cycle,Case,Time
Description Cycle,Case-01,150.947
EKG Cycle,Case-01,66.83499999999998
Description Cycle,Case-02,72.68100000000001
EKG Cycle,Case-02,49.572
Description Cycle,Case-03,58.43099999999998
EKG Cycle,Case-03,29.072000000000003
Description Cycle,Case-07,30.786
EKG Cycle,Case-07,31.817999999999984
Description Cycle,Case-08,53.28100000000006
EKG Cycle,Case-08,108.68899999999996
Description Cycle,Case-09,103.16399999999999
EKG Cycle,Case-09,92.73400000000004
Description Cycle,Case-12,66.24300000000005
EKG Cycle,Case-12,35.528999999999996
Description Cycle,Case-13,49.624999999999886
EKG Cycle,Case-13,89.37599999999998
Description Cycle,Case-15,56.263999999999896
EKG Cycle,Case-15,31.451999999999998
Description Cycle,Case-16,54.374000000000024
EKG Cycle,Case-16,77.77199999999993
Description Cycle,Case-17,132.15099999999984
EKG Cycle,Case-17,45.60500000000002
Description Cycle,Case-19,21.141000000000076
EKG Cycle,Case-19,18.61200000000008
