Question,Answer,Case,Points
EKG Hypothesis,oud ecg? dd blijft gelijk,Case-01,0.0
EKG Confidence,49,Case-01,
Description Hypothesis,gastro-intestinaal dd acs,Case-01,0.0
Description Confidence,50,Case-01,
EKG Hypothesis,acs,Case-02,0.0
EKG Confidence,80,Case-02,
Description Hypothesis,ge dd acs,Case-02,0.5
Description Confidence,50,Case-02,
EKG Hypothesis,pericarditis dd le,Case-03,0.5
EKG Confidence,49,Case-03,
Description Hypothesis,le dd acs (scad?),Case-03,0.5
Description Confidence,49,Case-03,
EKG Hypothesis,pericarditis,Case-07,1.0
EKG Confidence,92,Case-07,
Description Hypothesis,pericarditis,Case-07,1.0
Description Confidence,69,Case-07,
EKG Hypothesis,stemi prox lad/d,Case-08,1.0
EKG Confidence,88,Case-08,
Description Hypothesis,progressief ap (als laatste episode in rust acs),Case-08,1.0
Description Confidence,73,Case-08,
EKG Hypothesis,doorgemaakt/persisteren acs,Case-09,1.0
EKG Confidence,80,Case-09,
Description Hypothesis,acs,Case-09,1.0
Description Confidence,70,Case-09,
EKG Hypothesis,"aspec pob, geen evident acs, geen evidente alternatieve diagnose",Case-12,1.0
EKG Confidence,50,Case-12,
Description Hypothesis,efo patiënt,Case-12,0.0
Description Confidence,51,Case-12,
EKG Hypothesis,acs,Case-13,1.0
EKG Confidence,51,Case-13,
Description Hypothesis,acs,Case-13,1.0
Description Confidence,49,Case-13,
EKG Hypothesis,acs (iap),Case-15,1.0
EKG Confidence,31,Case-15,
Description Hypothesis,acs,Case-15,1.0
Description Confidence,70,Case-15,
EKG Hypothesis,acs,Case-16,1.0
EKG Confidence,59,Case-16,
Description Hypothesis,ap,Case-16,1.0
Description Confidence,49,Case-16,
EKG Hypothesis,ge,Case-17,0.0
EKG Confidence,40,Case-17,
Description Hypothesis,ge,Case-17,0.0
Description Confidence,45,Case-17,
EKG Hypothesis,acs,Case-19,1.0
EKG Confidence,69,Case-19,
Description Hypothesis,acs,Case-19,1.0
Description Confidence,72,Case-19,
